Job Title,Company,Location,Date of listing,Seniority Level,Employment Type,Job Function,Industries
Data Scientist,Halian,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",2022-11-28,Entry level,Contract,Engineering and Information Technology,IT Services and IT Consulting
data scientist - 1283651,Halian,United Arab Emirates,2023-01-31,Entry level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
Data and Business Analyst,MedSupply International,"Dubai, United Arab Emirates",2023-01-04,,,,
Data Analyst / Data Scientist (Remote),nybl,"Dubai, Dubai, United Arab Emirates",2022-12-07,Entry level,Full-time,Other,IT Services and IT Consulting
Data Engineer Intern,dubizzle,"Dubai, Dubai, United Arab Emirates",2023-01-17,Internship,Full-time,Information Technology,Online Audio and Video Media
"JUNIOR DATA SCIENTIST - Dubai, UAE",Cobblestone Energy,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",2022-12-17,Entry level,Full-time,Engineering and Information Technology,"Technology, Information and Internet"
Business Analyst Intern (Commercial Team),Property Finder,"Dubai, Dubai, United Arab Emirates",2023-01-24,,,,
Internship - Business Analyst Assistant,CHANEL,"Dubai, Dubai, United Arab Emirates",2023-01-24,Internship,Full-time,"Research, Analyst, and Information Technology",Retail and Retail Luxury Goods and Jewelry
Specialist Data Science,Linked4HR,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",2022-12-25,,,,
IT&D Graduate trainee,Reckitt,"Dubai, Dubai, United Arab Emirates",2023-01-16,,,,
Data Reliability Engineer Intern,dubizzle,"Dubai, Dubai, United Arab Emirates",2023-02-01,Internship,Full-time,Engineering and Information Technology,Online Audio and Video Media
Entry Level Quantitative Researcher,Cubist Systematic Strategies,"Dubai, Dubai, United Arab Emirates",2023-01-09,Entry level,Full-time,Research and Analyst,Financial Services
Data Analyst,PRIME IMMIGRATION LIMITED,"Dubai, Dubai, United Arab Emirates",2023-02-01,,,,
Data Science & Analytics Unit Head JOB,Department of Culture and Tourism – Abu Dhabi (DCT Abu Dhabi),"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",2023-01-01,,,,
Data/AI Analyst,Halian,"Dubai, Dubai, United Arab Emirates",2022-11-30,Entry level,Full-time,Information Technology,IT Services and IT Consulting
"JUNIOR DATA SCIENTIST - Dubai, UAE, Cobblestone Energy, Dubai - UAE. - Powered By Qureos",Qureos,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",2023-01-23,Entry level,Full-time,Engineering and Information Technology,Education
Data Engineer,Halian,"Dubai, Dubai, United Arab Emirates",2022-11-28,Entry level,Contract,Information Technology,IT Services and IT Consulting
"Data Scientist, RTC1 Recruitment Services - Powered By Qureos",Qureos,"Dubai, Dubai, United Arab Emirates",2023-01-23,,,,
Full Stack Data Engineer Intern,dubizzle,"Dubai, Dubai, United Arab Emirates",2023-01-31,Internship,Full-time,Engineering and Information Technology,Online Audio and Video Media
Data Analytics Project Manager,Kagool,"Dubai, Dubai, United Arab Emirates",2023-01-29,Full-time,,,
Commercial Strategy Internship,Property Finder,"Dubai, Dubai, United Arab Emirates",2023-01-26,,,,
Environmental Engineer - UAE,BESIX,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",2023-01-05,Entry level,Full-time,"Quality Assurance, Consulting, and Engineering",Construction
BI Expert,Statistics Centre - Abu Dhabi,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",2023-01-27,Entry level,Full-time,Business Development and Sales,Government Relations Services
Research Assistant,United Arab Emirates University,"Al Ain, Abu Dhabi Emirate, United Arab Emirates",2022-10-16,Entry level,Full-time,"Research, Analyst, and Information Technology",Higher Education
Early Career Trainee - Field Service Engineer,Baker Hughes,"Dubai, Dubai, United Arab Emirates",2023-01-31,,,,
Data Engineer (Healthcare Insurance),Halian,"Dubai, Dubai, United Arab Emirates",2023-01-31,Entry level,Contract,Information Technology,IT Services and IT Consulting
Data Scientist- Credit Risk,Halian,"Dubai, Dubai, United Arab Emirates",2022-11-13,,,,
Early Career Trainee - Performance Analytics Engineer,Baker Hughes,"Dubai, Dubai, United Arab Emirates",2022-12-13,,,,
Intern - Strategy,Kitopi,"Dubai, Dubai, United Arab Emirates",2023-01-23,,,,
BI Engineer,Dautom,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",2022-12-17,,,,
Software Support Engineer,MidChains,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",2023-01-18,,,,
Data Analyst (SQL Expert),Halian,"Dubai, Dubai, United Arab Emirates",2022-11-28,Entry level,Contract,Information Technology,IT Services and IT Consulting
UAE National - Graduate Data Engineer,dubizzle,"Dubai, Dubai, United Arab Emirates",2023-02-01,Entry level,Full-time,Information Technology,Online Audio and Video Media
"Specialist, IT Applications",Atlantis Resorts,"Dubai, Dubai, United Arab Emirates",2023-01-16,,,,
Build your Data Analytics Portfolio,Qureos,"Dubai, Dubai, United Arab Emirates",2023-01-24,Entry level,Full-time,Information Technology,Education
AI Marketing Technology Specialist,Puffy,"Dubai, Dubai, United Arab Emirates",2023-01-30,Entry level,Full-time,"Advertising, Sales, and Marketing",Retail
UiPath RPA Developer - Dubai,Michael Page,"Dubai, Dubai, United Arab Emirates",2023-01-25,Entry level,Full-time,Engineering and Information Technology,"Wholesale Furniture and Home Furnishings, Mining, and Oil and Gas"
Intern - Venture Developer | Dubai (f/m/d),Stryber,"Dubai, Dubai, United Arab Emirates",2022-12-18,Internship,Internship,Engineering and Information Technology,"Technology, Information and Internet"
RPA Developer,Michael Page,United Arab Emirates,2023-01-31,,,,
Data Analyst/ Dat Scientist (UAE Nationals ONLY),Dubai Careers - A Smart Dubai Initiative,"Dubai, Dubai, United Arab Emirates",2023-01-30,,,,
Postdoctoral Fellow,United Arab Emirates University,"Al Ain, Abu Dhabi Emirate, United Arab Emirates",2022-12-08,,,,
Research Engineer in the Division of Engineering (Machine Learning) - Dr. Farah Shamout,New York University Abu Dhabi,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",2023-01-30,Entry level,Full-time,Engineering and Information Technology,Higher Education
Data Integration Engineer,Dautom,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",2022-12-17,,,,
🇫🇷 Data Analyst - French Fluent,Paradox Institute,"Dubai, Dubai, United Arab Emirates",2022-12-14,Entry level,Full-time,Information Technology,Education
Data Engineer (Google Analytics),Halian,"Dubai, Dubai, United Arab Emirates",2023-01-04,Entry level,Contract,Information Technology,IT Services and IT Consulting
Performance Testing Engineer,Dautom,"Sharjah, Sharjah Emirate, United Arab Emirates",2022-12-15,Entry level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
User Interface Designer - Data Visualization,Michael Page,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",2022-12-23,,,,
Research Assistant in the Division of Engineering (Machine Learning) - Dr. Farah Shamout,New York University Abu Dhabi,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",2023-01-30,Entry level,Full-time,"Research, Analyst, and Information Technology",Higher Education
Python/Data Modelling Developer,Luxoft,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",2022-10-04,Entry level,Full-time,Information Technology,IT Services and IT Consulting
KOL Specialist,HONOR,"Dubai, United Arab Emirates",2023-01-24,Entry level,Full-time,Marketing and Advertising,Computers and Electronics Manufacturing
Customer Analytics Lead,Hello Chef,"Dubai, United Arab Emirates",2023-01-04,,,,
Management Information Developer (Power BI),Halian,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",2022-12-31,Entry level,Contract,"Marketing, Public Relations, and Writing/Editing",IT Services and IT Consulting
"Associate (Intern), Management Consulting",Alton Aviation Consultancy,"Dubai, Dubai, United Arab Emirates",2022-12-19,Internship,Internship,Education and Training,Airlines and Aviation
"TRAFFIC DATA ANALYST, Parsons - United Arab Emirates - Powered By Qureos",Qureos,"Dubai, Dubai, United Arab Emirates",2023-01-23,,,,
Post Doctoral Fellow.8800682,Khalifa University,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",2023-01-20,,,,
"Software Tester, nybl - Powered By Qureos",Qureos,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",2023-01-23,Entry level,Full-time,Engineering and Information Technology,Education
Data Warehouse Engineer,Michael Page,"Dubai, Dubai, United Arab Emirates",2022-11-30,Entry level,Full-time,Information Technology,"IT Services and IT Consulting, Software Development, and Computer and Network Security"
IT Security Compliance Specialist,Kitopi,"Dubai, Dubai, United Arab Emirates",2023-01-16,Entry level,Full-time,Information Technology,Food & Beverages
Research Assistant in the Division of Science (Computer Science) - Dr. Yasir Zaki,New York University Abu Dhabi,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",2023-02-01,Entry level,Full-time,"Research, Analyst, and Information Technology",Higher Education
Data Migration Developer,Dautom,"Dubai, Dubai, United Arab Emirates",2022-12-20,,,,
Post Doctoral Fellow.8800585,Khalifa University,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",2023-01-23,Entry level,Full-time,"Research, Analyst, and Information Technology",Higher Education
Program Manager - Data & Technology,Michael Page,United Arab Emirates,2022-12-24,Entry level,Full-time,Project Management and Information Technology,"Individual and Family Services, Civic and Social Organizations, and Public Policy Offices"
Research Associate,United Arab Emirates University,"Al Ain, Abu Dhabi Emirate, United Arab Emirates",2022-11-17,Entry level,Full-time,"Research, Analyst, and Information Technology",Higher Education
Systems &amp; Data Analyst,Qureos,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",2023-01-13,Entry level,Full-time,Information Technology,Education
"Cybersecurity Bootcamp Instructor (Virtual/Remote) REMOTE - SEATTLE, WA",Coding Dojo,"Dubai, Dubai, United Arab Emirates",2022-12-24,Entry level,Full-time,Engineering and Information Technology,Professional Training and Coaching
Product Support Specialist,Kitopi,"Dubai, Dubai, United Arab Emirates",2023-02-01,مستوى المبتدئين,دوام كامل,غير ذلك,الأغذية والمشروبات
Product Designer,Kitopi,"Dubai, Dubai, United Arab Emirates",2023-01-16,Entry level,Full-time,"Design, Art/Creative, and Information Technology",Food & Beverages
Backend Operations Assistant,HitPixel LLC,"Dubai, Dubai, United Arab Emirates",2023-01-13,,,,
UAE National - Graduate Data Reliability Engineer,dubizzle,"Dubai, Dubai, United Arab Emirates",2023-02-01,Entry level,Full-time,Engineering and Information Technology,Online Audio and Video Media
Research Assistant in the Division of Engineering (Computer Engineering - Computer-Human Intelligence) - Dr. Tuka Alhanai,New York University Abu Dhabi,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",2023-01-13,Entry level,Full-time,"Research, Analyst, and Information Technology",Higher Education
Growth Engineer,Paradox Institute,"Dubai, Dubai, United Arab Emirates",2022-11-28,,,,
Software Development Engineer (Backend),InvestSky,"Dubai, Dubai, United Arab Emirates",2022-12-26,,,,
Research Assistant under Division of Science (Computer Science) - Dr. Difallah,New York University Abu Dhabi,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",2023-01-30,,,,
Post Doctoral Fellow.8800575,Khalifa University,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",2022-12-13,Entry level,Full-time,"Research, Analyst, and Information Technology",Higher Education
Research AssistaResearch Assistant (Synthetic Aperture Radar Data Processing)nt,United Arab Emirates University,"Al Ain, Abu Dhabi Emirate, United Arab Emirates",2023-01-07,Entry level,Full-time,"Research, Analyst, and Information Technology",Higher Education
Sr Software Quality specialist,Dubai Careers - A Smart Dubai Initiative,"Dubai, Dubai, United Arab Emirates",2022-12-15,Entry level,Full-time,Quality Assurance,Government Administration
"Research Assistant in the Research Center on Stability, Instability, and Turbulence (SITE) - Dr. Nader Masmoudi",New York University Abu Dhabi,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",2023-01-18,,,,
Software Engineer - Full Stack,G42,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",2023-01-17,,,,
Early Career Traineeship (UAE) 2023 Opportunities (Evergreen),Baker Hughes,"Dubai, Dubai, United Arab Emirates",2022-11-25,Entry level,Full-time,Other,Oil and Gas
Research Assistant in the Division of Science (Computer Science)- Dr. Nizar Habash,New York University Abu Dhabi,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",2023-01-31,Entry level,Full-time,"Research, Analyst, and Information Technology",Higher Education
Librarian for the Sciences,New York University Abu Dhabi,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",2023-01-14,Entry level,Full-time,Other,Higher Education
Big Data Engineer - 1158579,Halian,United Arab Emirates,2022-12-15,Entry level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
Post Doctoral Fellow.8800573,Khalifa University,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",2022-12-13,,,,
Salesforce Admin,Kitopi,"Dubai, Dubai, United Arab Emirates",2023-01-10,,,,
Electrical Engineer,National Building Contracting,"فجیره شهر, Fujairah Emirate, United Arab Emirates",2023-02-01,Full-time,,,
Full Stack SW Engineer,DataMilk,"Dubai, Dubai, United Arab Emirates",2022-11-30,Entry level,Full-time,Engineering and Information Technology,"Technology, Information and Internet"
Nutritionist,Black Pearl Consult,"Dubai, Dubai, United Arab Emirates",2023-01-04,Entry level,Full-time,Health Care Provider,Hospitals and Health Care
Research Assistant in the Division of Engineering (Civil and Urban) - Dr. Saif Eddin Ghazi Jabari,New York University Abu Dhabi,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",2023-02-01,Entry level,Full-time,"Research, Analyst, and Information Technology",Higher Education
Post Doctoral Fellow.8800541,Khalifa University,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",2023-01-11,,,,
Information Management Engineer ( SharePoint and Business Intelligence),"KBR, Inc.","Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",2022-11-27,,,,
Post Doctoral Fellow.8800673,Khalifa University,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",2022-12-13,,,,
UAE National - Data Engineer,Michael Page,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",2022-12-06,,,,
Early Career Program - ASPIRE Finance 2023 (UAE),Baker Hughes,"Dubai, Dubai, United Arab Emirates",2022-11-25,,,,
Early Career Training - Sales Representative,Baker Hughes,"Dubai, Dubai, United Arab Emirates",2022-12-21,Entry level,Full-time,Sales and Business Development,Oil and Gas
Early Career Program: ASPIRE - Supply Chain 2023 (UAE),Baker Hughes,"Dubai, Dubai, United Arab Emirates",2022-10-28,Entry level,Other,Other,Oil and Gas
Research Assistant in the Division of Science (Bio-Physics) - Dr. Arjun Narayanan,New York University Abu Dhabi,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",2023-01-14,,,,
Early Career Trainee - Commercial (UAE),Baker Hughes,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",2022-12-21,Internship,Full-time,Other,Oil and Gas
Assistant Instructor - Information Technology( UAE Nationals Only),Ajman University,"Ajman, Ajman Emirate, United Arab Emirates",2022-12-13,Entry level,Full-time,Information Technology,Higher Education
Research Assistant in the Division of Science (Biology) - Dr. Aashish Jha,New York University Abu Dhabi,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",2023-01-25,,,,
"Postdoctoral Fellow, Computer and Network Engineering",United Arab Emirates University,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",2023-01-14,,,,
Research Assistant in the Division of Science (Psychology) - Dr. Bas Rokers,New York University Abu Dhabi,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",2023-01-20,,,,
English Teacher (AY 2023 - 2024),Qureos,"Dubai, Dubai, United Arab Emirates",2023-01-13,,,,
Intern - Graphic Design (Emirati),WSP in the Middle East,United Arab Emirates,2023-01-18,Internship,Full-time,"Design, Art/Creative, and Information Technology",Civil Engineering
Post-Doctoral Associate in the Division of Engineering (Machine Learning) - Dr. Farah Shamout,New York University Abu Dhabi,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",2023-02-01,Entry level,Full-time,"Research, Analyst, and Information Technology",Higher Education
"Oracle/PLSQL Developer, Neuron - Powered By Qureos",Qureos,"Dubai, Dubai, United Arab Emirates",2023-01-23,مستوى المبتدئين,دوام كامل,الهندسة و تكنولوجيا المعلومات,التعليم
Mean and Mern Stack developer,F Technologies LLC,"Dubai, Dubai, United Arab Emirates",2022-11-29,,,,
Early Career Trainee - Maintenance Wireline Engineer (UAE Nationals),Baker Hughes,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",2023-01-31,Internship,Full-time,Engineering and Information Technology,Oil and Gas
"UAE National - Data Engineer, Michael Page - Powered By Qureos",Qureos,"Dubai, Dubai, United Arab Emirates",2023-01-23,,,,
"Backend Developer - (.NET | C#) - Dubai - FinTech - Backend Engineer C# .Net Core Data Cloud, Emagine Solutions FZE - Powered By Qureos",Qureos,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",2023-01-23,,,,
Post-Doctoral Associate in the Division of Engineering (Machine Learning & Healthcare) - Dr. Farah Shamout,New York University Abu Dhabi,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",2023-01-17,,,,
TDS Sales Manager,Zimmer Biomet EMEA,"Dubai, Dubai, United Arab Emirates",2023-01-11,Entry level,Full-time,Sales and Business Development,Medical Equipment Manufacturing
"Analyst, Technical Applications (Engg System)",Jobs via eFinancialCareers,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",2023-01-24,,,,
PHP Developer,Dicetek LLC,"Dubai, Dubai, United Arab Emirates",2023-01-09,,,,
Research Assistant in the Division of Science (Psychology) - Dr. Antje von Suchodoletz,New York University Abu Dhabi,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",2023-01-31,,,,
Post-Doctoral Associate in the Division of Science (Computer Science) - Dr. Yasir Zaki,New York University Abu Dhabi,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",2023-01-31,Entry level,Full-time,"Research, Analyst, and Information Technology",Higher Education
Early Career Program - ASPIRE Sales & Commercial 2023 (UAE),Baker Hughes,"Dubai, Dubai, United Arab Emirates",2022-11-25,,,,
Qlik Sense Developer,Halian,"Dubai, Dubai, United Arab Emirates",2022-12-09,Entry level,Contract,Engineering and Information Technology,IT Services and IT Consulting
Post-Doctoral Associate in the Division of Engineering (Computer Engineering - Computer-Human Intelligence) - Dr. Tuka Alhanai,New York University Abu Dhabi,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",2023-01-14,,,,
Post-Doctoral Associate in the Division of Science (Computer Science) - Dr. Nizar Habash,New York University Abu Dhabi,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",2023-01-21,Entry level,Full-time,"Research, Analyst, and Information Technology",Higher Education
Post-Doctoral Associate in the Division of Science (Social Artificial Intelligence and Robotics) - Dr. Hanan Salam,New York University Abu Dhabi,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",2023-01-31,Entry level,Full-time,"Research, Analyst, and Information Technology",Higher Education
Post-Doctoral Associate in the Division of Engineering (Electrical and Computer) - Dr. Marwa Chafii,New York University Abu Dhabi,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",2023-02-01,,,,
Admin (Smart Plant Construction/SPC),"McDermott International, Ltd",United Arab Emirates,2023-01-15,,,,
Post-Doctoral Associate (Machine Learning & Cybersecurity) in Center for Interacting Urban Networks (CITIES),New York University Abu Dhabi,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",2023-01-31,Entry level,Full-time,"Research, Analyst, and Information Technology",Higher Education
Post-Doctoral Associate in the Division of Engineering (Computer Engineering - Machine Learning Security) - Dr. Muhammad Shafique,New York University Abu Dhabi,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",2023-01-27,,,,
Post-Doctoral Associate in the Center for Interacting Urban Networks (CITIES) - Dr. Djellel Difallah,New York University Abu Dhabi,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",2023-02-01,Entry level,Full-time,"Research, Analyst, and Information Technology",Higher Education
Post-Doctoral Associate in the Division of Engineering (Mechanical Engineering) - Dr. Raed Hashaikeh,New York University Abu Dhabi,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",2023-01-12,,,,
Post-Doctoral Associate in the Division of Science (Psychology) - Dr. P.J. Henry & Dr. Jaime Napier,New York University Abu Dhabi,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",2023-01-26,Entry level,Full-time,"Research, Analyst, and Information Technology",Higher Education
"Instructor of Political Science, Open-Rank",New York University Abu Dhabi,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",2023-01-30,Entry level,Full-time,Education and Training,Higher Education
Path 2: Post-Doctoral Associate in Transportation Systems and Urban Science,New York University Abu Dhabi,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",2023-01-12,,,,
Post-Doctoral Associate in the Center for Quantum and Topological Systems (CQTS) - Dr. Hisham Sati,New York University Abu Dhabi,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",2023-01-26,,,,
Post-Doctoral Associate in the Division of Social Science - Dr. Minsu Park,New York University Abu Dhabi,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",2023-01-21,,,,
Part-time Table Tennis Coach (Female),Ajman University,"Ajman, Ajman Emirate, United Arab Emirates",2023-01-07,Entry level,Part-time,Education and Training,Higher Education
Commis(Chinese Cuisine),Kitopi,"Abu Dhabi, Abu Dhabi Emirate, United Arab Emirates",2023-01-23,Entry level,Full-time,Management and Manufacturing,Food & Beverages
Commi-Lebanese Cuisine,Kitopi,"Al Ain, Abu Dhabi Emirate, United Arab Emirates",2023-01-20,Entry level,Full-time,Management and Manufacturing,Food & Beverages
